,Month,Hora,Temperatura_Media,Temperatura_Minima,Temperatura_Maxima,Brillo_Solar,Energia_Radiacion_Solar,Humedad_Relativa,Precipitaciones,Evaporaciones,Velocidad_del_Viento,FechaHora
57,1980-02-27,00:00:00,12.2,4.8,21.5,,,74.0,0.0,5.03,1.92,1980-02-27
58,1980-02-28,00:00:00,13.35,5.6,21.0,,,71.0,0.0,5.79,1.37,1980-02-28
59,1980-02-29,00:00:00,13.5,4.6,21.5,,,73.6,0.0,4.56,0.94,1980-02-29
60,1980-03-01,00:00:00,13.2,8.2,17.5,,,84.3333333333,0.0,5.5,1.23,1980-03-01
61,1980-03-02,00:00:00,13.9,10.6,19.0,,,76.0,2.9,4.74,1.57,1980-03-02
62,1980-03-03,00:00:00,14.225,7.8,21.4,,,75.6,1.9,3.8,0.99,1980-03-03
63,1980-03-04,00:00:00,13.95,8.6,23.0,,,77.0,1.0,5.5,0.78,1980-03-04
64,1980-03-05,00:00:00,12.0,8.8,17.5,,,85.3333333333,10.1,,0.68,1980-03-05
65,1980-03-06,00:00:00,13.45,8.8,16.6,,,81.6666666667,,,1.34,1980-03-06
66,1980-03-07,00:00:00,11.6,10.0,15.2,,,86.3,0.1,3.0,1.33,1980-03-07
67,1980-03-08,00:00:00,12.25,8.6,18.0,,,81.3,0.0,1.93,1.16,1980-03-08
68,1980-03-09,00:00:00,13.15,6.2,18.5,,,79.33,0.0,3.9,0.75,1980-03-09
69,1980-03-10,00:00:00,13.95,6.8,19.8,,,78.6,,3.04,0.87,1980-03-10
70,1980-03-11,00:00:00,13.8,11.1,17.6,,,84.66,7.2,2.89,0.79,1980-03-11
71,1980-03-12,00:00:00,13.05,8.6,18.1,,,79.0,0.0,4.8,1.08,1980-03-12
72,1980-03-13,00:00:00,14.225,9.6,19.2,,,77.6666666667,0.0,3.0,1.51,1980-03-13
73,1980-03-14,00:00:00,15.125,10.8,18.5,,,76.6666666667,0.0,3.8,1.52,1980-03-14
74,1980-03-15,00:00:00,13.95,11.0,19.0,,,77.6666666667,0.0,5.0,1.65,1980-03-15
75,1980-03-16,00:00:00,13.1,9.4,17.6,,,84.0,0.0,4.78,1.74,1980-03-16
76,1980-03-17,00:00:00,14.2,10.2,19.2,,,75.0,4.5,5.49,1.41,1980-03-17
77,1980-03-18,00:00:00,13.175,10.8,19.0,,,81.6666666667,0.2,2.73,0.94,1980-03-18
78,1980-03-19,00:00:00,16.0,11.2,21.4,,,74.6666666667,0.0,5.45,1.23,1980-03-19
79,1980-03-20,00:00:00,14.05,8.8,20.0,,,70.3333333333,0.0,6.03,1.63,1980-03-20
80,1980-03-21,00:00:00,13.45,4.5,21.0,,,72.6666666667,0.0,5.36,1.52,1980-03-21
81,1980-03-22,00:00:00,14.15,7.2,19.0,,,76.3333333333,0.0,3.71,1.43,1980-03-22
82,1980-03-23,00:00:00,14.1,9.6,19.0,,,77.6666666667,0.0,6.21,1.59,1980-03-23
83,1980-03-24,00:00:00,13.35,9.7,17.5,,,83.3333333333,0.0,4.2,1.63,1980-03-24
84,1980-03-25,00:00:00,12.55,10.1,12.2,,,88.6666666667,1.7,2.7,1.31,1980-03-25
85,1980-03-26,00:00:00,13.7,10.0,18.2,,,80.3333333333,0.0,5.07,1.6,1980-03-26
86,1980-03-27,00:00:00,14.425,8.4,19.0,,,78.3333333333,0.0,6.23,1.88,1980-03-27
87,1980-03-28,00:00:00,14.575,11.8,19.6,,,69.6666666667,0.0,6.25,2.01,1980-03-28
88,1980-03-29,00:00:00,13.55,10.2,19.0,,,84.0,1.0,3.55,1.7,1980-03-29
89,1980-03-30,00:00:00,12.65,11.0,15.5,,,,,1.56,0.55,1980-03-30
90,1980-03-31,00:00:00,13.625,9.2,18.0,,,81.3333333333,0.0,4.61,1.23,1980-03-31
91,1980-04-01,00:00:00,12.0,7.0,17.0,,,84.6,0.0,4.7,1.31,1980-04-01
92,1980-04-02,00:00:00,12.9,9.8,17.0,,,85.0,0.4,1.9,0.63,1980-04-02
93,1980-04-03,00:00:00,13.45,10.0,19.5,,,74.3333333333,0.0,5.42,1.43,1980-04-03
94,1980-04-04,00:00:00,14.85,8.6,23.0,,,69.6666666667,0.0,4.2,0.59,1980-04-04
95,1980-04-05,00:00:00,13.6,9.4,18.1,,,86.0,0.0,,1.14,1980-04-05
96,1980-04-06,00:00:00,13.025,9.6,15.6,,,85.3333333333,0.6000000000000001,,1.13,1980-04-06
97,1980-04-07,00:00:00,12.3,9.0,15.0,,,84.3,0.6000000000000001,2.3,1.42,1980-04-07
98,1980-04-08,00:00:00,13.75,8.6,18.0,,,82.6,1.6,4.32,1.14,1980-04-08
99,1980-04-09,00:00:00,13.25,6.7,18.2,,,81.33,4.7,6.09,1.66,1980-04-09
